Index Level :,Price
Currency :,USD


Date,THAILAND Standard (Large+Mid Cap) None
"Jan 29, 1993",353.771
"Feb 26, 1993",348.409
"Mar 31, 1993",320.865
"Apr 30, 1993",330.140
"May 31, 1993",320.942
"Jun 30, 1993",333.783
"Jul 30, 1993",344.754
"Aug 31, 1993",354.117
"Sep 30, 1993",361.645
"Oct 29, 1993",467.918
"Nov 30, 1993",485.976
"Dec 31, 1993",624.333
"Jan 31, 1994",563.181
"Feb 28, 1994",510.505
"Mar 31, 1994",466.478
"Apr 29, 1994",482.170
"May 31, 1994",525.595
"Jun 30, 1994",508.447
"Jul 29, 1994",562.875
"Aug 31, 1994",621.300
"Sep 30, 1994",595.295
"Oct 31, 1994",621.654
"Nov 30, 1994",552.647
"Dec 30, 1994",554.749
"Jan 31, 1995",489.038
"Feb 28, 1995",521.476
"Mar 31, 1995",494.617
"Apr 28, 1995",497.014
"May 31, 1995",578.137
"Jun 30, 1995",573.100
"Jul 31, 1995",562.969
"Aug 31, 1995",531.685
"Sep 29, 1995",528.466
"Oct 31, 1995",519.665
"Nov 30, 1995",488.353
"Dec 29, 1995",523.335
"Jan 31, 1996",571.307
"Feb 29, 1996",538.463
"Mar 29, 1996",526.972
"Apr 30, 1996",536.637
"May 31, 1996",545.341
"Jun 28, 1996",514.338
"Jul 31, 1996",440.379
"Aug 30, 1996",445.866
"Sep 30, 1996",444.684
"Oct 31, 1996",358.770
"Nov 29, 1996",367.349
"Dec 31, 1996",324.718
"Jan 31, 1997",305.849
"Feb 28, 1997",279.819
"Mar 31, 1997",275.389
"Apr 30, 1997",261.119
"May 30, 1997",230.091
"Jun 30, 1997",209.946
"Jul 31, 1997",230.202
"Aug 29, 1997",151.923
"Sep 30, 1997",169.847
"Oct 31, 1997",112.009
"Nov 28, 1997",100.594
"Dec 31, 1997",83.361
"Jan 30, 1998",111.906
"Feb 27, 1998",134.348
"Mar 31, 1998",119.392
"Apr 30, 1998",107.653
"May 29, 1998",78.133
"Jun 30, 1998",56.518
"Jul 31, 1998",59.241
"Aug 31, 1998",44.029
"Sep 30, 1998",60.044
"Oct 30, 1998",83.219
"Nov 30, 1998",96.647
"Dec 31, 1998",92.736
"Jan 29, 1999",94.948
"Feb 26, 1999",85.912
"Mar 31, 1999",91.028
"Apr 30, 1999",130.337
"May 31, 1999",124.847
"Jun 30, 1999",146.639
"Jul 30, 1999",127.986
"Aug 31, 1999",124.000
"Sep 30, 1999",99.614
"Oct 29, 1999",113.450
"Nov 30, 1999",118.621
"Dec 31, 1999",136.088
"Jan 31, 2000",132.247
"Feb 29, 2000",101.997
"Mar 31, 2000",112.341
"Apr 28, 2000",105.208
"May 31, 2000",83.126
"Jun 30, 2000",86.511
"Jul 31, 2000",67.228
"Aug 31, 2000",76.523
"Sep 29, 2000",61.461
"Oct 31, 2000",59.451
"Nov 30, 2000",61.887
"Dec 29, 2000",58.930
"Jan 31, 2001",77.126
"Feb 28, 2001",74.208
"Mar 30, 2001",61.351
"Apr 30, 2001",62.273
"May 31, 2001",62.792
"Jun 29, 2001",64.215
"Jul 31, 2001",57.611
"Aug 31, 2001",68.887
"Sep 28, 2001",56.380
"Oct 31, 2001",54.087
"Nov 30, 2001",61.915
"Dec 31, 2001",60.641
"Jan 31, 2002",72.125
"Feb 28, 2002",77.903
"Mar 29, 2002",77.350
"Apr 30, 2002",76.422
"May 30, 2002",86.995
"May 31, 2002",86.204
"Jun 03, 2002",86.083
"Jun 04, 2002",84.975
"Jun 05, 2002",86.470
"Jun 06, 2002",88.321
"Jun 07, 2002",88.163
"Jun 10, 2002",88.958
"Jun 11, 2002",87.852
"Jun 12, 2002",88.391
"Jun 13, 2002",88.885
"Jun 14, 2002",88.068
"Jun 17, 2002",86.921
"Jun 18, 2002",87.114
"Jun 19, 2002",83.436
"Jun 20, 2002",83.455
"Jun 21, 2002",81.200
"Jun 24, 2002",81.364
"Jun 25, 2002",82.668
"Jun 26, 2002",80.338
"Jun 27, 2002",80.325
"Jun 28, 2002",81.466
"Jul 01, 2002",81.397
"Jul 02, 2002",82.168
"Jul 03, 2002",82.217
"Jul 04, 2002",83.647
"Jul 05, 2002",84.477
"Jul 08, 2002",84.198
"Jul 09, 2002",85.580
"Jul 10, 2002",85.040
"Jul 11, 2002",83.573
"Jul 12, 2002",84.453
"Jul 15, 2002",84.063
"Jul 16, 2002",83.209
"Jul 17, 2002",83.791
"Jul 18, 2002",84.506
"Jul 19, 2002",84.278
"Jul 22, 2002",81.336
"Jul 23, 2002",81.631
"Jul 24, 2002",78.031
"Jul 25, 2002",78.174
"Jul 26, 2002",74.427
"Jul 29, 2002",74.049
"Jul 30, 2002",77.459
"Jul 31, 2002",76.962
"Aug 01, 2002",76.840
"Aug 02, 2002",76.016
"Aug 05, 2002",73.929
"Aug 06, 2002",72.704
"Aug 07, 2002",74.254
"Aug 08, 2002",73.002
"Aug 09, 2002",75.259
"Aug 12, 2002",75.706
"Aug 13, 2002",75.254
"Aug 14, 2002",77.097
"Aug 15, 2002",77.759
"Aug 16, 2002",78.714
"Aug 19, 2002",76.841
"Aug 20, 2002",78.209
"Aug 21, 2002",78.063
"Aug 22, 2002",76.523
"Aug 23, 2002",75.608
"Aug 26, 2002",75.988
"Aug 27, 2002",76.452
"Aug 28, 2002",75.445
"Aug 29, 2002",74.548
"Aug 30, 2002",74.107
"Sep 02, 2002",73.025
"Sep 03, 2002",72.714
"Sep 04, 2002",72.137
"Sep 05, 2002",71.235
"Sep 06, 2002",72.176
"Sep 09, 2002",72.112
"Sep 10, 2002",73.855
"Sep 11, 2002",74.354
"Sep 12, 2002",74.934
"Sep 13, 2002",72.963
"Sep 16, 2002",70.761
"Sep 17, 2002",72.832
"Sep 18, 2002",71.902
"Sep 19, 2002",71.613
"Sep 20, 2002",70.730
"Sep 23, 2002",69.956
"Sep 24, 2002",68.542
"Sep 25, 2002",67.387
"Sep 26, 2002",67.640
"Sep 27, 2002",68.674
"Sep 30, 2002",67.341
"Oct 01, 2002",67.120
"Oct 02, 2002",67.783
"Oct 03, 2002",68.008
"Oct 04, 2002",68.833
"Oct 07, 2002",67.035
"Oct 08, 2002",67.649
"Oct 09, 2002",67.839
"Oct 10, 2002",66.110
"Oct 11, 2002",65.374
"Oct 14, 2002",64.247
"Oct 15, 2002",65.140
"Oct 16, 2002",66.826
"Oct 17, 2002",67.458
"Oct 18, 2002",70.437
