Index Level :,Price
Currency :,USD


Date,TRINIDAD AND TOBAGO Standard (Large+Mid Cap) None
"Nov 25, 2008","1,000.000"
"Nov 26, 2008",998.892
"Nov 27, 2008",991.921
"Nov 28, 2008",991.037
"Dec 01, 2008",990.215
"Dec 02, 2008",985.055
"Dec 03, 2008",987.154
"Dec 04, 2008",975.278
"Dec 05, 2008",977.955
"Dec 08, 2008",981.922
"Dec 09, 2008",979.082
"Dec 10, 2008",978.823
"Dec 11, 2008",976.802
"Dec 12, 2008",974.573
"Dec 15, 2008",974.845
"Dec 16, 2008",967.871
"Dec 17, 2008",970.329
"Dec 18, 2008",968.851
"Dec 19, 2008",968.032
"Dec 22, 2008",968.341
"Dec 23, 2008",968.797
"Dec 24, 2008",957.084
"Dec 25, 2008",957.084
"Dec 26, 2008",958.365
"Dec 29, 2008",956.618
"Dec 30, 2008",951.422
"Dec 31, 2008",970.120
"Jan 01, 2009",970.120
"Jan 02, 2009",972.293
"Jan 05, 2009",973.410
"Jan 06, 2009",972.890
"Jan 07, 2009",964.351
"Jan 08, 2009",961.733
"Jan 09, 2009",965.414
"Jan 12, 2009",962.039
"Jan 13, 2009",961.986
"Jan 14, 2009",959.815
"Jan 15, 2009",959.708
"Jan 16, 2009",955.756
"Jan 19, 2009",954.379
"Jan 20, 2009",956.956
"Jan 21, 2009",953.801
"Jan 22, 2009",954.967
"Jan 23, 2009",955.760
"Jan 26, 2009",954.442
"Jan 27, 2009",951.788
"Jan 28, 2009",964.030
"Jan 29, 2009",988.774
"Jan 30, 2009",999.771
"Feb 02, 2009",995.174
"Feb 03, 2009",997.625
"Feb 04, 2009",999.008
"Feb 05, 2009","1,000.980"
"Feb 06, 2009",998.907
"Feb 09, 2009",997.018
"Feb 10, 2009",995.674
"Feb 11, 2009","1,001.340"
"Feb 12, 2009",999.495
"Feb 13, 2009",996.564
"Feb 16, 2009",993.369
"Feb 17, 2009",991.380
"Feb 18, 2009",990.223
"Feb 19, 2009",996.822
"Feb 20, 2009",996.474
"Feb 23, 2009",996.714
"Feb 24, 2009",996.714
"Feb 25, 2009",996.620
"Feb 26, 2009","1,000.058"
"Feb 27, 2009",997.822
"Mar 02, 2009",997.260
"Mar 03, 2009",993.363
"Mar 04, 2009",994.454
"Mar 05, 2009",994.475
"Mar 06, 2009",994.475
"Mar 09, 2009","1,001.324"
"Mar 10, 2009",999.372
"Mar 11, 2009",998.646
"Mar 12, 2009",996.693
"Mar 13, 2009",998.532
"Mar 16, 2009","1,000.887"
"Mar 17, 2009","1,000.502"
"Mar 18, 2009",997.825
"Mar 19, 2009",996.623
"Mar 20, 2009",993.104
"Mar 23, 2009",996.189
"Mar 24, 2009",995.950
"Mar 25, 2009",994.299
"Mar 26, 2009",994.085
"Mar 27, 2009",994.085
"Mar 30, 2009",991.107
"Mar 31, 2009",991.107
"Apr 01, 2009",989.409
"Apr 02, 2009",993.064
"Apr 03, 2009",996.578
"Apr 06, 2009",997.136
"Apr 07, 2009",976.696
"Apr 08, 2009",981.325
"Apr 09, 2009",977.023
"Apr 10, 2009",977.023
"Apr 13, 2009",977.023
"Apr 14, 2009",977.023
"Apr 15, 2009",979.024
"Apr 16, 2009",979.024
"Apr 17, 2009",978.509
"Apr 20, 2009",983.467
"Apr 21, 2009",982.422
"Apr 22, 2009",978.098
"Apr 23, 2009",976.984
"Apr 24, 2009",975.920
"Apr 27, 2009",978.190
"Apr 28, 2009",981.969
"Apr 29, 2009",977.394
"Apr 30, 2009",975.621
"May 01, 2009",974.501
"May 04, 2009",976.355
"May 05, 2009",976.596
"May 06, 2009",976.791
"May 07, 2009",976.231
"May 08, 2009",977.144
"May 11, 2009",982.092
"May 12, 2009",981.089
"May 13, 2009",981.504
"May 14, 2009",975.773
"May 15, 2009",972.066
"May 18, 2009",971.387
"May 19, 2009",978.129
"May 20, 2009",971.973
"May 21, 2009",973.684
"May 22, 2009",962.967
"May 25, 2009",964.176
"May 26, 2009",964.138
"May 27, 2009",967.274
"May 28, 2009",969.151
"May 29, 2009",954.085
"Jun 01, 2009",954.670
"Jun 02, 2009",953.812
"Jun 03, 2009",951.201
"Jun 04, 2009",951.621
"Jun 05, 2009",954.380
"Jun 08, 2009",953.126
"Jun 09, 2009",957.188
"Jun 10, 2009",951.912
"Jun 11, 2009",948.712
"Jun 12, 2009",948.712
"Jun 15, 2009",952.935
"Jun 16, 2009",951.881
"Jun 17, 2009",952.639
"Jun 18, 2009",949.179
"Jun 19, 2009",952.215
"Jun 22, 2009",952.165
"Jun 23, 2009",950.177
"Jun 24, 2009",947.086
"Jun 25, 2009",950.169
"Jun 26, 2009",953.562
"Jun 29, 2009",950.420
"Jun 30, 2009",952.933
"Jul 01, 2009",952.443
"Jul 02, 2009",951.369
"Jul 03, 2009",952.363
"Jul 06, 2009",954.463
"Jul 07, 2009",955.856
"Jul 08, 2009",956.687
"Jul 09, 2009",954.836
"Jul 10, 2009",953.560
"Jul 13, 2009",949.489
"Jul 14, 2009",945.647
"Jul 15, 2009",944.312
"Jul 16, 2009",947.219
"Jul 17, 2009",945.154
"Jul 20, 2009",945.821
"Jul 21, 2009",949.393
"Jul 22, 2009",949.739
"Jul 23, 2009",943.724
"Jul 24, 2009",942.954
"Jul 27, 2009",944.016
"Jul 28, 2009",943.856
"Jul 29, 2009",941.808
"Jul 30, 2009",948.228
"Jul 31, 2009",946.026
"Aug 03, 2009",947.739
"Aug 04, 2009",943.811
"Aug 05, 2009",945.157
"Aug 06, 2009",943.185
"Aug 07, 2009",943.640
"Aug 10, 2009",946.686
"Aug 11, 2009",941.763
"Aug 12, 2009",947.513
"Aug 13, 2009",953.032
"Aug 14, 2009",949.796
"Aug 17, 2009",948.183
"Aug 18, 2009",950.797
"Aug 19, 2009",950.782
"Aug 20, 2009",952.041
"Aug 21, 2009",950.564
"Aug 24, 2009",949.353
"Aug 25, 2009",951.266
"Aug 26, 2009",951.401
"Aug 27, 2009",949.684
"Aug 28, 2009",948.731
"Aug 31, 2009",950.384
"Sep 01, 2009",950.384
"Sep 02, 2009",946.248
"Sep 03, 2009",950.948
"Sep 04, 2009",955.004
"Sep 07, 2009",950.293
"Sep 08, 2009",953.275
"Sep 09, 2009",951.092
"Sep 10, 2009",950.999
"Sep 11, 2009",949.877
"Sep 14, 2009",948.728
"Sep 15, 2009",947.365
"Sep 16, 2009",948.871
"Sep 17, 2009",949.847
