Index Level :,Price
Currency :,USD


Date,TUNISIA Standard (Large+Mid Cap) None
"May 31, 2004",519.762
"Jun 01, 2004",523.496
"Jun 02, 2004",525.744
"Jun 03, 2004",529.163
"Jun 04, 2004",528.217
"Jun 07, 2004",529.581
"Jun 08, 2004",526.961
"Jun 09, 2004",519.159
"Jun 10, 2004",519.859
"Jun 11, 2004",516.794
"Jun 14, 2004",515.017
"Jun 15, 2004",516.278
"Jun 16, 2004",513.371
"Jun 17, 2004",514.857
"Jun 18, 2004",516.318
"Jun 21, 2004",513.183
"Jun 22, 2004",514.089
"Jun 23, 2004",515.682
"Jun 24, 2004",518.373
"Jun 25, 2004",518.319
"Jun 28, 2004",521.199
"Jun 29, 2004",516.476
"Jun 30, 2004",518.405
"Jul 01, 2004",517.580
"Jul 02, 2004",524.520
"Jul 05, 2004",520.156
"Jul 06, 2004",521.645
"Jul 07, 2004",525.459
"Jul 08, 2004",523.880
"Jul 09, 2004",526.598
"Jul 12, 2004",530.302
"Jul 13, 2004",526.288
"Jul 14, 2004",528.314
"Jul 15, 2004",527.700
"Jul 16, 2004",532.178
"Jul 19, 2004",530.387
"Jul 20, 2004",529.473
"Jul 21, 2004",527.270
"Jul 22, 2004",529.130
"Jul 23, 2004",520.238
"Jul 26, 2004",530.245
"Jul 27, 2004",536.237
"Jul 28, 2004",530.293
"Jul 29, 2004",526.137
"Jul 30, 2004",526.275
"Aug 02, 2004",526.544
"Aug 03, 2004",525.070
"Aug 04, 2004",527.352
"Aug 05, 2004",526.833
"Aug 06, 2004",535.317
"Aug 09, 2004",536.987
"Aug 10, 2004",538.334
"Aug 11, 2004",531.073
"Aug 12, 2004",532.170
"Aug 13, 2004",535.745
"Aug 16, 2004",536.088
"Aug 17, 2004",532.762
"Aug 18, 2004",532.718
"Aug 19, 2004",533.807
"Aug 20, 2004",531.215
"Aug 23, 2004",528.296
"Aug 24, 2004",525.241
"Aug 25, 2004",524.081
"Aug 26, 2004",526.400
"Aug 27, 2004",523.936
"Aug 30, 2004",525.717
"Aug 31, 2004",531.269
"Sep 01, 2004",530.799
"Sep 02, 2004",530.148
"Sep 03, 2004",526.827
"Sep 06, 2004",526.765
"Sep 07, 2004",524.953
"Sep 08, 2004",526.446
"Sep 09, 2004",528.185
"Sep 10, 2004",530.090
"Sep 13, 2004",528.744
"Sep 14, 2004",526.921
"Sep 15, 2004",523.429
"Sep 16, 2004",521.780
"Sep 17, 2004",522.581
"Sep 20, 2004",521.950
"Sep 21, 2004",523.845
"Sep 22, 2004",522.801
"Sep 23, 2004",523.085
"Sep 24, 2004",523.083
"Sep 27, 2004",521.524
"Sep 28, 2004",521.560
"Sep 29, 2004",521.441
"Sep 30, 2004",527.107
"Oct 01, 2004",530.063
"Oct 04, 2004",525.804
"Oct 05, 2004",527.073
"Oct 06, 2004",529.644
"Oct 07, 2004",520.892
"Oct 08, 2004",521.804
"Oct 11, 2004",525.216
"Oct 12, 2004",518.948
"Oct 13, 2004",517.374
"Oct 14, 2004",518.992
"Oct 15, 2004",527.998
"Oct 18, 2004",522.039
"Oct 19, 2004",528.061
"Oct 20, 2004",531.392
"Oct 21, 2004",532.729
"Oct 22, 2004",534.069
"Oct 25, 2004",538.049
"Oct 26, 2004",538.798
"Oct 27, 2004",546.790
"Oct 28, 2004",545.641
"Oct 29, 2004",538.554
"Nov 01, 2004",537.465
"Nov 02, 2004",539.048
"Nov 03, 2004",541.962
"Nov 04, 2004",545.922
"Nov 05, 2004",548.316
"Nov 08, 2004",546.667
"Nov 09, 2004",547.877
"Nov 10, 2004",549.751
"Nov 11, 2004",547.691
"Nov 12, 2004",552.768
"Nov 15, 2004",552.094
"Nov 16, 2004",548.778
"Nov 17, 2004",550.279
"Nov 18, 2004",546.781
"Nov 19, 2004",547.100
"Nov 22, 2004",550.729
"Nov 23, 2004",550.141
"Nov 24, 2004",551.065
"Nov 25, 2004",553.233
"Nov 26, 2004",552.765
"Nov 29, 2004",551.480
"Nov 30, 2004",550.888
"Dec 01, 2004",552.277
"Dec 02, 2004",550.007
"Dec 03, 2004",553.058
"Dec 06, 2004",550.197
"Dec 07, 2004",549.814
"Dec 08, 2004",546.368
"Dec 09, 2004",546.907
"Dec 10, 2004",552.977
"Dec 13, 2004",555.108
"Dec 14, 2004",555.793
"Dec 15, 2004",558.987
"Dec 16, 2004",556.984
"Dec 17, 2004",566.949
"Dec 20, 2004",564.991
"Dec 21, 2004",566.756
"Dec 22, 2004",564.520
"Dec 23, 2004",570.177
"Dec 24, 2004",568.640
"Dec 27, 2004",571.788
"Dec 28, 2004",570.548
"Dec 29, 2004",573.816
"Dec 30, 2004",572.593
"Dec 31, 2004",569.359
"Jan 03, 2005",567.790
"Jan 04, 2005",561.629
"Jan 05, 2005",565.240
"Jan 06, 2005",568.062
"Jan 07, 2005",565.639
"Jan 10, 2005",565.275
"Jan 11, 2005",566.057
"Jan 12, 2005",571.957
"Jan 13, 2005",571.419
"Jan 14, 2005",568.159
"Jan 17, 2005",568.704
"Jan 18, 2005",567.946
"Jan 19, 2005",569.052
"Jan 20, 2005",565.154
"Jan 21, 2005",569.029
"Jan 24, 2005",567.714
"Jan 25, 2005",568.084
"Jan 26, 2005",568.822
"Jan 27, 2005",570.021
"Jan 28, 2005",568.270
"Jan 31, 2005",569.106
"Feb 01, 2005",568.347
"Feb 02, 2005",569.544
"Feb 03, 2005",566.055
"Feb 04, 2005",565.690
"Feb 07, 2005",563.081
"Feb 08, 2005",560.745
"Feb 09, 2005",561.529
"Feb 10, 2005",565.167
"Feb 11, 2005",564.944
"Feb 14, 2005",566.992
"Feb 15, 2005",567.292
"Feb 16, 2005",567.145
"Feb 17, 2005",568.393
"Feb 18, 2005",575.423
"Feb 21, 2005",574.818
"Feb 22, 2005",575.270
"Feb 23, 2005",575.457
"Feb 24, 2005",573.646
"Feb 25, 2005",572.419
"Feb 28, 2005",573.712
"Mar 01, 2005",569.108
"Mar 02, 2005",568.693
"Mar 03, 2005",572.801
"Mar 04, 2005",574.482
"Mar 07, 2005",572.795
"Mar 08, 2005",579.488
"Mar 09, 2005",580.236
"Mar 10, 2005",591.594
"Mar 11, 2005",592.447
"Mar 14, 2005",604.273
"Mar 15, 2005",614.382
"Mar 16, 2005",629.944
"Mar 17, 2005",629.468
"Mar 18, 2005",627.105
"Mar 21, 2005",622.861
"Mar 22, 2005",623.230
