Index Level :,Price
Currency :,USD


Date,UKRAINE Standard (Large+Mid Cap) None
"May 31, 2006","1,018.065"
"Jun 01, 2006","1,032.782"
"Jun 02, 2006","1,064.128"
"Jun 05, 2006","1,076.992"
"Jun 06, 2006","1,074.580"
"Jun 07, 2006","1,055.481"
"Jun 08, 2006","1,007.713"
"Jun 09, 2006",996.167
"Jun 12, 2006",997.013
"Jun 13, 2006",974.215
"Jun 14, 2006",953.255
"Jun 15, 2006",985.942
"Jun 16, 2006",960.795
"Jun 19, 2006",957.348
"Jun 20, 2006",996.331
"Jun 21, 2006",981.096
"Jun 22, 2006",981.439
"Jun 23, 2006",972.287
"Jun 26, 2006",969.355
"Jun 27, 2006",986.696
"Jun 28, 2006",986.696
"Jun 29, 2006",990.912
"Jun 30, 2006",978.098
"Jul 03, 2006",975.670
"Jul 04, 2006",979.389
"Jul 05, 2006",977.217
"Jul 06, 2006",979.131
"Jul 07, 2006",980.945
"Jul 10, 2006",970.394
"Jul 11, 2006",959.042
"Jul 12, 2006",954.107
"Jul 13, 2006",954.543
"Jul 14, 2006",955.198
"Jul 17, 2006",957.199
"Jul 18, 2006",951.774
"Jul 19, 2006",968.462
"Jul 20, 2006",966.574
"Jul 21, 2006",971.468
"Jul 24, 2006",961.917
"Jul 25, 2006",952.619
"Jul 26, 2006",955.365
"Jul 27, 2006",957.788
"Jul 28, 2006",963.937
"Jul 31, 2006",953.075
"Aug 01, 2006",975.131
"Aug 02, 2006",958.626
"Aug 03, 2006",967.662
"Aug 04, 2006",978.068
"Aug 07, 2006","1,001.336"
"Aug 08, 2006","1,014.056"
"Aug 09, 2006","1,061.770"
"Aug 10, 2006","1,058.071"
"Aug 11, 2006","1,062.643"
"Aug 14, 2006","1,059.135"
"Aug 15, 2006","1,041.388"
"Aug 16, 2006","1,039.083"
"Aug 17, 2006","1,055.098"
"Aug 18, 2006","1,053.055"
"Aug 21, 2006","1,034.481"
"Aug 22, 2006","1,032.611"
"Aug 23, 2006","1,016.413"
"Aug 24, 2006","1,016.413"
"Aug 25, 2006","1,016.413"
"Aug 28, 2006","1,018.940"
"Aug 29, 2006","1,032.270"
"Aug 30, 2006","1,032.275"
"Aug 31, 2006","1,023.146"
"Sep 01, 2006","1,024.210"
"Sep 04, 2006","1,018.440"
"Sep 05, 2006","1,012.085"
"Sep 06, 2006","1,002.050"
"Sep 07, 2006","1,005.650"
"Sep 08, 2006","1,002.023"
"Sep 11, 2006",998.165
"Sep 12, 2006","1,006.367"
"Sep 13, 2006","1,006.486"
"Sep 14, 2006","1,005.634"
"Sep 15, 2006","1,006.737"
"Sep 18, 2006","1,001.131"
"Sep 19, 2006",964.747
"Sep 20, 2006",967.880
"Sep 21, 2006",969.426
"Sep 22, 2006",955.153
"Sep 25, 2006",949.273
"Sep 26, 2006",940.237
"Sep 27, 2006",942.881
"Sep 28, 2006",940.819
"Sep 29, 2006",952.050
"Oct 02, 2006",937.590
"Oct 03, 2006",934.126
"Oct 04, 2006",912.763
"Oct 05, 2006",911.661
"Oct 06, 2006",913.655
"Oct 09, 2006",918.305
"Oct 10, 2006",910.634
"Oct 11, 2006",909.698
"Oct 12, 2006",918.673
"Oct 13, 2006",919.832
"Oct 16, 2006",915.311
"Oct 17, 2006",918.338
"Oct 18, 2006",918.889
"Oct 19, 2006",922.089
"Oct 20, 2006",925.942
"Oct 23, 2006",922.608
"Oct 24, 2006",919.233
"Oct 25, 2006",918.003
"Oct 26, 2006",921.279
"Oct 27, 2006",915.431
"Oct 30, 2006",913.216
"Oct 31, 2006",896.487
"Nov 01, 2006",894.066
"Nov 02, 2006",892.650
"Nov 03, 2006",890.320
"Nov 06, 2006",896.073
"Nov 07, 2006",895.011
"Nov 08, 2006",884.159
"Nov 09, 2006",888.030
"Nov 10, 2006",883.662
"Nov 13, 2006",885.192
"Nov 14, 2006",887.064
"Nov 15, 2006",887.430
"Nov 16, 2006",887.785
"Nov 17, 2006",888.050
"Nov 20, 2006",892.989
"Nov 21, 2006",888.578
"Nov 22, 2006",883.138
"Nov 23, 2006",883.685
"Nov 24, 2006",889.464
"Nov 27, 2006",882.638
"Nov 28, 2006",881.920
"Nov 29, 2006",878.649
"Nov 30, 2006",896.759
"Dec 01, 2006",897.309
"Dec 04, 2006",899.758
"Dec 05, 2006",910.760
"Dec 06, 2006",919.618
"Dec 07, 2006",918.279
"Dec 08, 2006",928.071
"Dec 11, 2006",928.130
"Dec 12, 2006",934.154
"Dec 13, 2006",954.789
"Dec 14, 2006",964.257
"Dec 15, 2006",960.683
"Dec 18, 2006",958.527
"Dec 19, 2006",965.488
"Dec 20, 2006",964.381
"Dec 21, 2006",969.281
"Dec 22, 2006",977.970
"Dec 25, 2006",974.628
"Dec 26, 2006",978.653
"Dec 27, 2006",967.519
"Dec 28, 2006",974.984
"Dec 29, 2006",974.529
"Jan 01, 2007",974.529
"Jan 02, 2007",974.432
"Jan 03, 2007",974.432
"Jan 04, 2007",977.625
"Jan 05, 2007",973.757
"Jan 08, 2007",973.757
"Jan 09, 2007",973.193
"Jan 10, 2007",971.342
"Jan 11, 2007","1,017.870"
"Jan 12, 2007","1,061.353"
"Jan 15, 2007","1,100.295"
"Jan 16, 2007","1,094.484"
"Jan 17, 2007","1,098.815"
"Jan 18, 2007","1,111.669"
"Jan 19, 2007","1,111.957"
"Jan 22, 2007","1,137.351"
"Jan 23, 2007","1,128.120"
"Jan 24, 2007","1,121.274"
"Jan 25, 2007","1,109.370"
"Jan 26, 2007","1,110.578"
"Jan 29, 2007","1,115.087"
"Jan 30, 2007","1,117.739"
"Jan 31, 2007","1,117.393"
"Feb 01, 2007","1,124.186"
"Feb 02, 2007","1,131.139"
"Feb 05, 2007","1,129.853"
"Feb 06, 2007","1,123.314"
"Feb 07, 2007","1,136.522"
"Feb 08, 2007","1,134.920"
"Feb 09, 2007","1,128.479"
"Feb 12, 2007","1,119.157"
"Feb 13, 2007","1,107.496"
"Feb 14, 2007","1,135.074"
"Feb 15, 2007","1,135.754"
"Feb 16, 2007","1,128.749"
"Feb 19, 2007","1,135.094"
"Feb 20, 2007","1,119.549"
"Feb 21, 2007","1,143.092"
"Feb 22, 2007","1,130.854"
"Feb 23, 2007","1,142.902"
"Feb 26, 2007","1,172.642"
"Feb 27, 2007","1,141.723"
"Feb 28, 2007","1,079.531"
"Mar 01, 2007","1,080.545"
"Mar 02, 2007","1,032.195"
