Index Level :,Price
Currency :,USD


Date,UNITED ARAB EMIRATES Standard (Large+Mid Cap) None
"May 31, 2005",662.550
"Jun 01, 2005",667.031
"Jun 02, 2005",667.541
"Jun 03, 2005",667.614
"Jun 06, 2005",714.557
"Jun 07, 2005",727.806
"Jun 08, 2005",720.296
"Jun 09, 2005",738.959
"Jun 10, 2005",738.959
"Jun 13, 2005",783.078
"Jun 14, 2005",752.793
"Jun 15, 2005",768.747
"Jun 16, 2005",835.691
"Jun 17, 2005",835.691
"Jun 20, 2005",858.508
"Jun 21, 2005",856.720
"Jun 22, 2005",866.932
"Jun 23, 2005",877.677
"Jun 24, 2005",877.701
"Jun 27, 2005",919.588
"Jun 28, 2005",915.690
"Jun 29, 2005",882.969
"Jun 30, 2005",902.727
"Jul 01, 2005",902.727
"Jul 04, 2005",915.224
"Jul 05, 2005",875.394
"Jul 06, 2005",844.474
"Jul 07, 2005",857.237
"Jul 08, 2005",857.237
"Jul 11, 2005",762.503
"Jul 12, 2005",796.981
"Jul 13, 2005",820.363
"Jul 14, 2005",822.094
"Jul 15, 2005",822.094
"Jul 18, 2005",768.128
"Jul 19, 2005",808.238
"Jul 20, 2005",796.700
"Jul 21, 2005",767.391
"Jul 22, 2005",767.370
"Jul 25, 2005",693.673
"Jul 26, 2005",726.018
"Jul 27, 2005",730.615
"Jul 28, 2005",729.277
"Jul 29, 2005",729.297
"Aug 01, 2005",709.600
"Aug 02, 2005",695.839
"Aug 03, 2005",718.488
"Aug 04, 2005",743.509
"Aug 05, 2005",743.509
"Aug 08, 2005",782.571
"Aug 09, 2005",778.537
"Aug 10, 2005",781.873
"Aug 11, 2005",801.471
"Aug 12, 2005",801.482
"Aug 15, 2005",844.671
"Aug 16, 2005",852.442
"Aug 17, 2005",874.936
"Aug 18, 2005",873.897
"Aug 19, 2005",873.885
"Aug 22, 2005",909.549
"Aug 23, 2005",906.551
"Aug 24, 2005",904.905
"Aug 25, 2005",915.440
"Aug 26, 2005",915.440
"Aug 29, 2005",917.887
"Aug 30, 2005",903.230
"Aug 31, 2005",903.230
"Sep 01, 2005",890.927
"Sep 02, 2005",890.951
"Sep 05, 2005",900.469
"Sep 06, 2005",914.062
"Sep 07, 2005",943.956
"Sep 08, 2005",967.990
"Sep 09, 2005",967.964
"Sep 12, 2005",962.764
"Sep 13, 2005",996.609
"Sep 14, 2005","1,025.349"
"Sep 15, 2005","1,025.878"
"Sep 16, 2005","1,025.585"
"Sep 19, 2005","1,069.925"
"Sep 20, 2005","1,083.928"
"Sep 21, 2005","1,087.033"
"Sep 22, 2005","1,087.545"
"Sep 23, 2005","1,087.530"
"Sep 26, 2005","1,033.123"
"Sep 27, 2005","1,051.835"
"Sep 28, 2005","1,063.184"
"Sep 29, 2005","1,054.990"
"Sep 30, 2005","1,055.138"
"Oct 03, 2005","1,012.598"
"Oct 04, 2005",989.768
"Oct 05, 2005",990.007
"Oct 06, 2005","1,014.066"
"Oct 07, 2005","1,014.038"
"Oct 10, 2005","1,050.541"
"Oct 11, 2005","1,038.429"
"Oct 12, 2005","1,010.279"
"Oct 13, 2005","1,022.411"
"Oct 14, 2005","1,022.411"
"Oct 17, 2005","1,039.941"
"Oct 18, 2005","1,045.045"
"Oct 19, 2005","1,044.675"
"Oct 20, 2005","1,056.514"
"Oct 21, 2005","1,056.542"
"Oct 24, 2005","1,052.405"
"Oct 25, 2005","1,056.774"
"Oct 26, 2005","1,049.092"
"Oct 27, 2005","1,047.260"
"Oct 28, 2005","1,047.274"
"Oct 31, 2005","1,052.066"
"Nov 01, 2005","1,073.562"
"Nov 02, 2005","1,073.591"
"Nov 03, 2005","1,073.577"
"Nov 04, 2005","1,073.591"
"Nov 07, 2005","1,078.991"
"Nov 08, 2005","1,079.164"
"Nov 09, 2005","1,083.052"
"Nov 10, 2005","1,078.872"
"Nov 11, 2005","1,078.843"
"Nov 14, 2005","1,056.670"
"Nov 15, 2005","1,064.336"
"Nov 16, 2005","1,051.630"
"Nov 17, 2005","1,050.097"
"Nov 18, 2005","1,050.111"
"Nov 21, 2005","1,047.589"
"Nov 22, 2005","1,025.161"
"Nov 23, 2005","1,015.001"
"Nov 24, 2005","1,011.661"
"Nov 25, 2005","1,011.689"
"Nov 28, 2005",987.319
"Nov 29, 2005",965.221
"Nov 30, 2005","1,000.000"
"Dec 01, 2005",971.132
"Dec 02, 2005",971.132
"Dec 05, 2005",961.219
"Dec 06, 2005",969.771
"Dec 07, 2005",966.698
"Dec 08, 2005",978.498
"Dec 09, 2005",978.525
"Dec 12, 2005",971.458
"Dec 13, 2005",964.940
"Dec 14, 2005",969.062
"Dec 15, 2005",965.791
"Dec 16, 2005",965.791
"Dec 19, 2005",963.696
"Dec 20, 2005",972.550
"Dec 21, 2005",942.833
"Dec 22, 2005",905.280
"Dec 23, 2005",905.292
"Dec 26, 2005",918.814
"Dec 27, 2005",909.762
"Dec 28, 2005",914.422
"Dec 29, 2005",921.427
"Dec 30, 2005",921.452
"Jan 02, 2006",973.486
"Jan 03, 2006",968.445
"Jan 04, 2006",947.497
"Jan 05, 2006",947.497
"Jan 06, 2006",947.471
"Jan 09, 2006",976.358
"Jan 10, 2006",976.332
"Jan 11, 2006",976.358
"Jan 12, 2006",997.108
"Jan 13, 2006",997.081
"Jan 16, 2006",978.123
"Jan 17, 2006",955.545
"Jan 18, 2006",945.016
"Jan 19, 2006",957.070
"Jan 20, 2006",957.070
"Jan 23, 2006",947.134
"Jan 24, 2006",927.304
"Jan 25, 2006",925.996
"Jan 26, 2006",909.213
"Jan 27, 2006",909.188
"Jan 30, 2006",819.085
"Jan 31, 2006",826.855
"Feb 01, 2006",826.833
"Feb 02, 2006",873.470
"Feb 03, 2006",873.470
"Feb 06, 2006",825.892
"Feb 07, 2006",826.464
"Feb 08, 2006",803.113
"Feb 09, 2006",807.153
"Feb 10, 2006",807.153
"Feb 13, 2006",758.295
"Feb 14, 2006",726.229
"Feb 15, 2006",729.217
"Feb 16, 2006",788.297
"Feb 17, 2006",788.286
"Feb 20, 2006",828.556
"Feb 21, 2006",820.955
"Feb 22, 2006",789.889
"Feb 23, 2006",766.616
"Feb 24, 2006",766.595
"Feb 27, 2006",782.216
"Feb 28, 2006",766.518
"Mar 01, 2006",758.948
"Mar 02, 2006",763.570
"Mar 03, 2006",763.570
"Mar 06, 2006",728.375
"Mar 07, 2006",714.709
