Index Level :,Price
Currency :,USD


Date,UNITED KINGDOM Standard (Large+Mid Cap) None
"Jan 29, 1993",518.920
"Feb 26, 1993",504.888
"Mar 31, 1993",540.435
"Apr 30, 1993",554.887
"May 31, 1993",557.369
"Jun 30, 1993",550.126
"Jul 30, 1993",547.090
"Aug 31, 1993",584.077
"Sep 30, 1993",575.896
"Oct 29, 1993",597.009
"Nov 30, 1993",598.197
"Dec 31, 1993",641.456
"Jan 31, 1994",668.722
"Feb 28, 1994",634.134
"Mar 31, 1994",590.141
"Apr 29, 1994",610.010
"May 31, 1994",576.518
"Jun 30, 1994",576.880
"Jul 29, 1994",606.253
"Aug 31, 1994",639.305
"Sep 30, 1994",608.078
"Oct 31, 1994",641.676
"Nov 30, 1994",612.096
"Dec 30, 1994",611.077
"Jan 31, 1995",600.047
"Feb 28, 1995",601.719
"Mar 31, 1995",645.213
"Apr 28, 1995",652.406
"May 31, 1995",665.723
"Jun 30, 1995",664.576
"Jul 31, 1995",699.821
"Aug 31, 1995",681.440
"Sep 29, 1995",700.138
"Oct 31, 1995",697.473
"Nov 30, 1995",699.794
"Dec 29, 1995",716.422
"Jan 31, 1996",713.475
"Feb 29, 1996",717.361
"Mar 29, 1996",711.453
"Apr 30, 1996",723.375
"May 31, 1996",729.808
"Jun 28, 1996",723.493
"Jul 31, 1996",726.459
"Aug 30, 1996",761.965
"Sep 30, 1996",777.474
"Oct 31, 1996",812.136
"Nov 29, 1996",856.139
"Dec 31, 1996",883.481
"Jan 31, 1997",855.345
"Feb 28, 1997",879.880
"Mar 31, 1997",886.885
"Apr 30, 1997",900.932
"May 30, 1997",939.797
"Jun 30, 1997",950.501
"Jul 31, 1997",992.627
"Aug 29, 1997",974.043
"Sep 30, 1997","1,056.167"
"Oct 31, 1997","1,013.642"
"Nov 28, 1997","1,016.160"
"Dec 31, 1997","1,052.094"
"Jan 30, 1998","1,100.801"
"Feb 27, 1998","1,174.678"
"Mar 31, 1998","1,234.218"
"Apr 30, 1998","1,234.391"
"May 29, 1998","1,186.358"
"Jun 30, 1998","1,202.183"
"Jul 31, 1998","1,175.714"
"Aug 31, 1998","1,088.057"
"Sep 30, 1998","1,063.405"
"Oct 30, 1998","1,125.771"
"Nov 30, 1998","1,173.638"
"Dec 31, 1998","1,208.247"
"Jan 29, 1999","1,193.304"
"Feb 26, 1999","1,217.357"
"Mar 31, 1999","1,252.854"
"Apr 30, 1999","1,298.891"
"May 31, 1999","1,224.521"
"Jun 30, 1999","1,225.235"
"Jul 30, 1999","1,241.219"
"Aug 31, 1999","1,233.834"
"Sep 30, 1999","1,211.233"
"Oct 29, 1999","1,243.971"
"Nov 30, 1999","1,256.717"
"Dec 31, 1999","1,325.936"
"Jan 31, 2000","1,201.987"
"Feb 29, 2000","1,161.518"
"Mar 31, 2000","1,244.589"
"Apr 28, 2000","1,190.260"
"May 31, 2000","1,147.787"
"Jun 30, 2000","1,156.186"
"Jul 31, 2000","1,161.991"
"Aug 31, 2000","1,172.282"
"Sep 29, 2000","1,138.092"
"Oct 31, 2000","1,144.105"
"Nov 30, 2000","1,074.827"
"Dec 29, 2000","1,146.254"
"Jan 31, 2001","1,127.011"
"Feb 28, 2001","1,048.937"
"Mar 30, 2001",996.825
"Apr 30, 2001","1,057.953"
"May 31, 2001","1,020.717"
"Jun 29, 2001",984.624
"Jul 31, 2001",985.172
"Aug 31, 2001",971.065
"Sep 28, 2001",905.378
"Oct 31, 2001",921.979
"Nov 30, 2001",940.168
"Dec 31, 2001",962.025
"Jan 31, 2002",920.997
"Feb 28, 2002",912.691
"Mar 29, 2002",949.980
"Apr 30, 2002",951.542
"May 30, 2002",926.976
"May 31, 2002",933.780
"Jun 03, 2002",932.791
"Jun 04, 2002",933.844
"Jun 05, 2002",911.305
"Jun 06, 2002",907.907
"Jun 07, 2002",902.607
"Jun 10, 2002",905.170
"Jun 11, 2002",909.553
"Jun 12, 2002",897.325
"Jun 13, 2002",884.140
"Jun 14, 2002",860.602
"Jun 17, 2002",884.340
"Jun 18, 2002",880.164
"Jun 19, 2002",872.000
"Jun 20, 2002",863.983
"Jun 21, 2002",868.832
"Jun 24, 2002",859.641
"Jun 25, 2002",874.107
"Jun 26, 2002",870.417
"Jun 27, 2002",870.830
"Jun 28, 2002",892.719
"Jul 01, 2002",900.968
"Jul 02, 2002",875.092
"Jul 03, 2002",842.363
"Jul 04, 2002",856.077
"Jul 05, 2002",880.842
"Jul 08, 2002",886.149
"Jul 09, 2002",881.168
"Jul 10, 2002",855.970
"Jul 11, 2002",820.960
"Jul 12, 2002",820.581
"Jul 15, 2002",783.680
"Jul 16, 2002",791.869
"Jul 17, 2002",822.461
"Jul 18, 2002",844.726
"Jul 19, 2002",809.932
"Jul 22, 2002",768.327
"Jul 23, 2002",755.952
"Jul 24, 2002",745.319
"Jul 25, 2002",782.969
"Jul 26, 2002",787.913
"Jul 29, 2002",820.622
"Jul 30, 2002",823.677
"Jul 31, 2002",831.275
"Aug 01, 2002",789.454
"Aug 02, 2002",802.658
"Aug 05, 2002",786.234
"Aug 06, 2002",796.566
"Aug 07, 2002",787.389
"Aug 08, 2002",812.958
"Aug 09, 2002",825.421
"Aug 12, 2002",809.753
"Aug 13, 2002",819.522
"Aug 14, 2002",807.308
"Aug 15, 2002",831.509
"Aug 16, 2002",834.627
"Aug 19, 2002",847.426
"Aug 20, 2002",834.733
"Aug 21, 2002",836.780
"Aug 22, 2002",846.239
"Aug 23, 2002",836.538
"Aug 26, 2002",838.078
"Aug 27, 2002",852.565
"Aug 28, 2002",822.840
"Aug 29, 2002",816.322
"Aug 30, 2002",817.629
"Sep 02, 2002",811.348
"Sep 03, 2002",789.331
"Sep 04, 2002",788.639
"Sep 05, 2002",786.488
"Sep 06, 2002",801.805
"Sep 09, 2002",792.116
"Sep 10, 2002",810.716
"Sep 11, 2002",814.437
"Sep 12, 2002",794.200
"Sep 13, 2002",782.637
"Sep 16, 2002",781.323
"Sep 17, 2002",772.236
"Sep 18, 2002",748.903
"Sep 19, 2002",741.055
"Sep 20, 2002",750.247
"Sep 23, 2002",729.712
"Sep 24, 2002",714.465
"Sep 25, 2002",721.214
"Sep 26, 2002",749.547
"Sep 27, 2002",757.803
"Sep 30, 2002",731.570
"Oct 01, 2002",744.086
"Oct 02, 2002",762.250
"Oct 03, 2002",759.378
"Oct 04, 2002",745.361
"Oct 07, 2002",738.275
