Index Level :,Price
Currency :,USD


Date,USA Standard (Large+Mid Cap) None
"Jan 29, 1993",409.073
"Feb 26, 1993",413.484
"Mar 31, 1993",421.027
"Apr 30, 1993",410.766
"May 31, 1993",420.292
"Jun 30, 1993",420.618
"Jul 30, 1993",419.187
"Aug 31, 1993",433.351
"Sep 30, 1993",428.110
"Oct 29, 1993",434.661
"Nov 30, 1993",430.747
"Dec 31, 1993",434.983
"Jan 31, 1994",449.819
"Feb 28, 1994",436.199
"Mar 31, 1994",416.333
"Apr 29, 1994",421.299
"May 31, 1994",427.349
"Jun 30, 1994",414.388
"Jul 29, 1994",427.442
"Aug 31, 1994",443.324
"Sep 30, 1994",433.000
"Oct 31, 1994",442.000
"Nov 30, 1994",425.963
"Dec 30, 1994",431.264
"Jan 31, 1995",442.209
"Feb 28, 1995",458.693
"Mar 31, 1995",470.035
"Apr 28, 1995",483.842
"May 31, 1995",501.775
"Jun 30, 1995",513.160
"Jul 31, 1995",529.623
"Aug 31, 1995",528.691
"Sep 29, 1995",551.427
"Oct 31, 1995",550.189
"Nov 30, 1995",573.394
"Dec 29, 1995",581.071
"Jan 31, 1996",600.799
"Feb 29, 1996",606.038
"Mar 29, 1996",611.159
"Apr 30, 1996",619.162
"May 31, 1996",634.651
"Jun 28, 1996",637.351
"Jul 31, 1996",608.263
"Aug 30, 1996",620.827
"Sep 30, 1996",654.551
"Oct 31, 1996",670.235
"Nov 29, 1996",719.848
"Dec 31, 1996",705.160
"Jan 31, 1997",752.397
"Feb 28, 1997",756.645
"Mar 31, 1997",721.700
"Apr 30, 1997",768.160
"May 30, 1997",810.584
"Jun 30, 1997",846.458
"Jul 31, 1997",912.322
"Aug 29, 1997",857.096
"Sep 30, 1997",900.777
"Oct 31, 1997",875.148
"Nov 28, 1997",916.448
"Dec 31, 1997",928.912
"Jan 30, 1998",939.785
"Feb 27, 1998","1,004.607"
"Mar 31, 1998","1,055.594"
"Apr 30, 1998","1,066.849"
"May 29, 1998","1,044.326"
"Jun 30, 1998","1,088.091"
"Jul 31, 1998","1,076.185"
"Aug 31, 1998",925.238
"Sep 30, 1998",984.895
"Oct 30, 1998","1,059.963"
"Nov 30, 1998","1,130.792"
"Dec 31, 1998","1,196.343"
"Jan 29, 1999","1,246.747"
"Feb 26, 1999","1,210.633"
"Mar 31, 1999","1,259.662"
"Apr 30, 1999","1,303.917"
"May 31, 1999","1,272.252"
"Jun 30, 1999","1,339.359"
"Jul 30, 1999","1,294.606"
"Aug 31, 1999","1,285.056"
"Sep 30, 1999","1,245.592"
"Oct 29, 1999","1,325.737"
"Nov 30, 1999","1,352.837"
"Dec 31, 1999","1,445.856"
"Jan 31, 2000","1,367.098"
"Feb 29, 2000","1,333.279"
"Mar 31, 2000","1,465.047"
"Apr 28, 2000","1,416.340"
"May 31, 2000","1,377.567"
"Jun 30, 2000","1,409.306"
"Jul 31, 2000","1,382.781"
"Aug 31, 2000","1,453.344"
"Sep 29, 2000","1,373.016"
"Oct 31, 2000","1,361.950"
"Nov 30, 2000","1,253.096"
"Dec 29, 2000","1,249.864"
"Jan 31, 2001","1,294.402"
"Feb 28, 2001","1,177.196"
"Mar 30, 2001","1,101.099"
"Apr 30, 2001","1,185.823"
"May 31, 2001","1,191.158"
"Jun 29, 2001","1,163.136"
"Jul 31, 2001","1,151.133"
"Aug 31, 2001","1,072.997"
"Sep 28, 2001",989.920
"Oct 31, 2001","1,003.341"
"Nov 30, 2001","1,078.989"
"Dec 31, 2001","1,084.544"
"Jan 31, 2002","1,068.133"
"Feb 28, 2002","1,045.597"
"Mar 29, 2002","1,083.675"
"Apr 30, 2002","1,012.510"
"May 30, 2002","1,002.029"
"May 31, 2002","1,003.402"
"Jun 03, 2002",977.755
"Jun 04, 2002",978.133
"Jun 05, 2002",986.474
"Jun 06, 2002",966.479
"Jun 07, 2002",964.229
"Jun 10, 2002",967.213
"Jun 11, 2002",949.951
"Jun 12, 2002",956.837
"Jun 13, 2002",947.370
"Jun 14, 2002",945.580
"Jun 17, 2002",972.683
"Jun 18, 2002",973.592
"Jun 19, 2002",957.361
"Jun 20, 2002",943.066
"Jun 21, 2002",926.201
"Jun 24, 2002",929.889
"Jun 25, 2002",913.636
"Jun 26, 2002",910.503
"Jun 27, 2002",926.295
"Jun 28, 2002",925.676
"Jul 01, 2002",904.341
"Jul 02, 2002",885.512
"Jul 03, 2002",891.178
"Jul 04, 2002",891.178
"Jul 05, 2002",924.452
"Jul 08, 2002",912.704
"Jul 09, 2002",889.454
"Jul 10, 2002",860.412
"Jul 11, 2002",867.814
"Jul 12, 2002",862.894
"Jul 15, 2002",860.482
"Jul 16, 2002",845.633
"Jul 17, 2002",851.614
"Jul 18, 2002",827.530
"Jul 19, 2002",796.708
"Jul 22, 2002",770.382
"Jul 23, 2002",749.018
"Jul 24, 2002",792.242
"Jul 25, 2002",786.944
"Jul 26, 2002",801.544
"Jul 29, 2002",845.591
"Jul 30, 2002",849.651
"Jul 31, 2002",858.154
"Aug 01, 2002",831.836
"Aug 02, 2002",812.838
"Aug 05, 2002",784.633
"Aug 06, 2002",808.278
"Aug 07, 2002",824.740
"Aug 08, 2002",852.427
"Aug 09, 2002",855.267
"Aug 12, 2002",850.933
"Aug 13, 2002",831.760
"Aug 14, 2002",865.213
"Aug 15, 2002",874.967
"Aug 16, 2002",873.987
"Aug 19, 2002",894.787
"Aug 20, 2002",882.151
"Aug 21, 2002",893.813
"Aug 22, 2002",906.412
"Aug 23, 2002",885.371
"Aug 26, 2002",892.244
"Aug 27, 2002",879.231
"Aug 28, 2002",863.080
"Aug 29, 2002",862.886
"Aug 30, 2002",860.888
"Sep 02, 2002",860.888
"Sep 03, 2002",824.277
"Sep 04, 2002",838.672
"Sep 05, 2002",824.951
"Sep 06, 2002",839.024
"Sep 09, 2002",847.238
"Sep 10, 2002",853.420
"Sep 11, 2002",853.371
"Sep 12, 2002",831.768
"Sep 13, 2002",834.027
"Sep 16, 2002",835.449
"Sep 17, 2002",818.766
"Sep 18, 2002",814.959
"Sep 19, 2002",789.817
"Sep 20, 2002",791.195
"Sep 23, 2002",780.699
"Sep 24, 2002",766.875
"Sep 25, 2002",786.109
"Sep 26, 2002",800.048
"Sep 27, 2002",773.654
"Sep 30, 2002",762.564
"Oct 01, 2002",793.771
"Oct 02, 2002",775.086
"Oct 03, 2002",766.647
"Oct 04, 2002",749.147
