Index Level :,Price
Currency :,USD


Date,VIETNAM Standard (Large+Mid Cap) None
"Nov 30, 2006",585.209
"Dec 01, 2006",604.976
"Dec 04, 2006",629.670
"Dec 05, 2006",632.523
"Dec 06, 2006",649.372
"Dec 07, 2006",679.499
"Dec 08, 2006",710.176
"Dec 11, 2006",745.627
"Dec 12, 2006",762.816
"Dec 13, 2006",797.888
"Dec 14, 2006",833.520
"Dec 15, 2006",874.681
"Dec 18, 2006",905.529
"Dec 19, 2006",946.979
"Dec 20, 2006",973.336
"Dec 21, 2006",963.097
"Dec 22, 2006",918.454
"Dec 25, 2006",892.238
"Dec 26, 2006",870.733
"Dec 27, 2006",895.068
"Dec 28, 2006",890.416
"Dec 29, 2006",866.165
"Jan 01, 2007",866.348
"Jan 02, 2007",844.292
"Jan 03, 2007",867.629
"Jan 04, 2007",907.469
"Jan 05, 2007",951.446
"Jan 08, 2007",955.041
"Jan 09, 2007",965.723
"Jan 10, 2007",987.089
"Jan 11, 2007","1,005.603"
"Jan 12, 2007","1,053.132"
"Jan 15, 2007","1,104.198"
"Jan 16, 2007","1,157.263"
"Jan 17, 2007","1,109.535"
"Jan 18, 2007","1,101.740"
"Jan 19, 2007","1,155.252"
"Jan 22, 2007","1,202.684"
"Jan 23, 2007","1,220.374"
"Jan 24, 2007","1,180.429"
"Jan 25, 2007","1,173.824"
"Jan 26, 2007","1,168.599"
"Jan 29, 2007","1,198.980"
"Jan 30, 2007","1,251.662"
"Jan 31, 2007","1,287.639"
"Feb 01, 2007","1,268.873"
"Feb 02, 2007","1,288.293"
"Feb 05, 2007","1,242.288"
"Feb 06, 2007","1,298.701"
"Feb 07, 2007","1,315.821"
"Feb 08, 2007","1,250.677"
"Feb 09, 2007","1,190.086"
"Feb 12, 2007","1,234.913"
"Feb 13, 2007","1,270.629"
"Feb 14, 2007","1,240.234"
"Feb 15, 2007","1,257.586"
"Feb 16, 2007","1,257.507"
"Feb 19, 2007","1,257.586"
"Feb 20, 2007","1,257.586"
"Feb 21, 2007","1,311.760"
"Feb 22, 2007","1,318.189"
"Feb 23, 2007","1,317.860"
"Feb 26, 2007","1,318.189"
"Feb 27, 2007","1,364.866"
"Feb 28, 2007","1,297.574"
"Mar 01, 2007","1,260.529"
"Mar 02, 2007","1,296.414"
"Mar 05, 2007","1,301.665"
"Mar 06, 2007","1,241.814"
"Mar 07, 2007","1,236.818"
"Mar 08, 2007","1,228.115"
"Mar 09, 2007","1,232.955"
"Mar 12, 2007","1,229.293"
"Mar 13, 2007","1,210.967"
"Mar 14, 2007","1,156.127"
"Mar 15, 2007","1,099.296"
"Mar 16, 2007","1,147.176"
"Mar 19, 2007","1,164.603"
"Mar 20, 2007","1,135.853"
"Mar 21, 2007","1,106.113"
"Mar 22, 2007","1,120.036"
"Mar 23, 2007","1,120.596"
"Mar 26, 2007","1,106.170"
"Mar 27, 2007","1,060.067"
"Mar 28, 2007","1,037.718"
"Mar 29, 2007","1,084.377"
"Mar 30, 2007","1,102.457"
"Apr 02, 2007","1,090.797"
"Apr 03, 2007","1,054.897"
"Apr 04, 2007","1,071.685"
"Apr 05, 2007","1,072.042"
"Apr 06, 2007","1,050.896"
"Apr 09, 2007","1,064.337"
"Apr 10, 2007","1,067.300"
"Apr 11, 2007","1,065.042"
"Apr 12, 2007","1,079.078"
"Apr 13, 2007","1,062.133"
"Apr 16, 2007","1,043.939"
"Apr 17, 2007","1,020.530"
"Apr 18, 2007","1,048.057"
"Apr 19, 2007","1,032.794"
"Apr 20, 2007",994.992
"Apr 23, 2007",951.122
"Apr 24, 2007",908.827
"Apr 25, 2007",917.261
"Apr 26, 2007",917.319
"Apr 27, 2007",922.612
"Apr 30, 2007",931.847
"May 01, 2007",931.847
"May 02, 2007",931.730
"May 03, 2007",937.618
"May 04, 2007",963.328
"May 07, 2007","1,009.216"
"May 08, 2007","1,044.905"
"May 09, 2007","1,048.746"
"May 10, 2007","1,075.149"
"May 11, 2007","1,097.382"
"May 14, 2007","1,140.152"
"May 15, 2007","1,120.125"
"May 16, 2007","1,102.279"
"May 17, 2007","1,132.766"
"May 18, 2007","1,129.994"
"May 21, 2007","1,156.024"
"May 22, 2007","1,166.971"
"May 23, 2007","1,171.998"
"May 24, 2007","1,134.416"
"May 25, 2007","1,125.637"
"May 28, 2007","1,145.886"
"May 29, 2007","1,138.466"
"May 30, 2007","1,124.283"
"May 31, 2007","1,125.979"
"Jun 01, 2007","1,125.715"
"Jun 04, 2007","1,112.818"
"Jun 05, 2007","1,081.428"
"Jun 06, 2007","1,087.803"
"Jun 07, 2007","1,103.090"
"Jun 08, 2007","1,093.499"
"Jun 11, 2007","1,074.383"
"Jun 12, 2007","1,072.833"
"Jun 13, 2007","1,053.119"
"Jun 14, 2007","1,048.827"
"Jun 15, 2007","1,058.223"
"Jun 18, 2007","1,044.041"
"Jun 19, 2007","1,044.301"
"Jun 20, 2007","1,035.468"
"Jun 21, 2007","1,027.324"
"Jun 22, 2007","1,026.732"
"Jun 25, 2007","1,030.705"
"Jun 26, 2007","1,029.755"
"Jun 27, 2007","1,019.891"
"Jun 28, 2007","1,007.407"
"Jun 29, 2007","1,008.711"
"Jul 02, 2007",983.785
"Jul 03, 2007",977.906
"Jul 04, 2007","1,004.750"
"Jul 05, 2007","1,004.391"
"Jul 06, 2007","1,006.157"
"Jul 09, 2007","1,003.457"
"Jul 10, 2007","1,012.047"
"Jul 11, 2007","1,011.014"
"Jul 12, 2007","1,003.290"
"Jul 13, 2007",994.999
"Jul 16, 2007",971.187
"Jul 17, 2007",973.357
"Jul 18, 2007",968.249
"Jul 19, 2007",959.486
"Jul 20, 2007",949.200
"Jul 23, 2007",931.541
"Jul 24, 2007",928.116
"Jul 25, 2007",911.533
"Jul 26, 2007",899.703
"Jul 27, 2007",889.350
"Jul 30, 2007",885.810
"Jul 31, 2007",866.302
"Aug 01, 2007",871.730
"Aug 02, 2007",841.600
"Aug 03, 2007",819.570
"Aug 06, 2007",818.269
"Aug 07, 2007",831.543
"Aug 08, 2007",850.500
"Aug 09, 2007",879.765
"Aug 10, 2007",862.658
"Aug 13, 2007",837.528
"Aug 14, 2007",847.369
"Aug 15, 2007",837.788
"Aug 16, 2007",824.402
"Aug 17, 2007",815.547
"Aug 20, 2007",827.678
"Aug 21, 2007",834.015
"Aug 22, 2007",832.646
"Aug 23, 2007",827.568
"Aug 24, 2007",839.656
